tsne_1,tsne_2
-36.256004,11.339351
-21.32644,-20.026358
-21.79543,-9.647995
0.16412647,-10.881578
-68.0682,3.6942194
22.13739,13.667631
-16.143747,-2.5366223
46.780224,-19.711115
-42.457767,-23.491648
-12.670918,-10.197999
-60.55257,8.916289
-83.80662,-2.0514948
-40.66553,22.831186
-29.209864,-16.294678
-32.61193,-10.293889
-39.373577,-10.673111
-35.987434,2.5701544
-61.0539,4.7408123
-50.05897,18.242443
87.38218,6.917412
36.806602,-16.074574
-66.09028,19.545132
-57.007065,-9.947364
34.727604,-8.301659
-26.06601,-13.836212
-52.164005,27.447515
30.857965,5.0938196
-13.133673,-11.310591
-9.636276,-1.2290246
-58.056168,23.333113
-36.244274,-3.4814088
-70.832726,26.04104
4.5736256,-13.213895
47.767017,-22.433786
-2.2327583,-3.0790548
40.119835,-21.86429
-45.00116,-22.679821
89.70614,1.2355071
-7.4759393,-5.622798
-56.23657,5.165572
-57.210392,-4.8093233
-70.194626,12.013272
-37.315765,-12.608173
-37.555336,6.071264
-21.248857,-20.83896
8.552625,11.0349245
-34.929695,-9.229747
-2.3587925,2.294558
-51.629337,2.9419403
16.39751,2.5599067
-8.654868,10.413218
61.939423,26.916119
-8.298685,10.514155
-4.5198855,-2.3375468
-45.934597,0.27445376
-33.396034,34.59316
-3.5120482,-11.967719
7.1734633,0.74318796
34.191353,-9.352681
-60.015263,-1.2125397
-57.495476,10.0656185
-17.815855,29.574947
3.3926408,-20.772516
-19.310986,-16.902184
-26.479908,-1.010492
54.117096,-3.5884585
8.573833,4.750939
-32.49632,-2.8160393
-60.20135,4.2679996
76.55339,25.05974
-19.27492,-15.101582
-1.4885389,2.0733595
61.852844,5.1243563
-43.341248,3.5337932
-14.190399,-2.0146997
4.938803,-11.135322
-53.610256,-9.726206
-19.008287,-30.02216
-31.73148,7.5152617
4.941877,-3.2664201
-23.597958,-8.691591
17.938812,16.806036
58.32535,14.292785
-26.35953,-11.523848
-35.740776,-4.925545
15.330298,-6.6238246
-57.204914,-10.465813
36.55471,8.902707
1.5744584,1.1969705
-43.79034,-0.54040784
-50.960636,-16.966162
-48.112675,-24.399286
69.3444,28.711645
11.605905,7.2520704
35.597546,-23.667698
-72.454285,-6.3208995
-50.048786,-2.0063312
-12.624743,-12.082168
-70.795456,25.990461
-23.25773,-12.807971
-52.347095,7.4102163
-43.99518,-17.403723
-9.508304,-27.344482
-53.820095,-5.344309
59.614902,-6.656924
29.193226,13.519912
-60.35207,14.645111
8.083435,4.0210233
-48.990883,-13.232917
20.026937,17.138094
33.551414,-6.9274273
-12.987974,27.094662
27.333855,11.791042
-17.537521,29.92847
-18.544512,-20.466501
59.94673,0.62969375
-44.202175,4.863329
80.36944,18.952108
-32.624416,34.167706
-54.408005,6.4938498
59.34741,-2.251112
60.234303,8.353869
-52.170475,9.009562
47.119556,-25.744442
54.63286,-19.134285
